pid,sentence1,sentence2
44329,How much discount the coupon code has,How can I apply coupon code in flights?
10565,sale fee,orange sale fee
33625,want to get my report but I dont have Lab id,Hope report will get ready
19722,My order ID is right,I can't find my order ID
54083,It was to cancel my ticket,Cancelling my ticket was very time intensive
10062,facing issues with login,facing problem
27635,Hi Please help me with flight bookings .,Hi can you help me with film tickets booking .
16514,17kg,price of 4kg
6155,Domestic LPG Cylinders,Home LPG cylinder
27012,Can you remind me to wish anniversary,remind me to wish birthday tomorrow
15980,How will I get the Lab id?,No this is my lab id
58880,premium for criticare,What will be the premium for Criticare
61176,reminder to call,remind to call
34253,Please book a flight,Please help me with flight booking
40050,Bill payment,Best Mumbai Electricity Bill Payment
8836,like to purchase Flight Tickets,I want to get a flight booked
9018,i want discount on flight tickets,I want to book flight tickets.
14905,"Hey, I want to book a flight ticket .","Hey, I want to get my appliances repaired ."
50591,any offers currently available on flights,For flights any offer is going on
38245,warranty complaint,Credentials for raising warranty complaint
37500,want mumbai to bangalore flights,mumbai to pune
40583,call to remind jog,Reminder to Call Modification
19448,married,"Yes, I am married"
13662,I need a reminder for calling someone,show my reminders
1318,I gave the right ID,The ID I gave was right
44635,Give me an update on job application,I have not received a rely for my job application
23097,Do you provide a home loan to single women?,disburse the loan to me
11971,Already it is booked for home collection,Can we  get it for home collection
14533,any offer on flight booking,Is there any cashback
5924,I have checked it. The ID is correct,my id is correct
26141,I want to know the flight prices to Delhi,Book me a night ticket to Delhi tomorrow
22526,Profit and Loss,Profit and loss statement
22900,I want to check the PNR status of a train.,to check pnr status
18533,I want to know fare for whole month,may i know the rate of the test
9927,Can you tell me where is my order ID?,Please help me find my order ID
24785,bus booking,I want bus bookings
3805,Want to book my seat i booked my ticket already,book my seats
49232,like to purchase Flight Tickets,"Hey, I want to book a flight ticket ."
31493,what is my position on the gk leaderboard,yesterday's GK leaderboard
44168,Modify this wake up reminder,Wake up alarm
13127,I want to book flight tickets.,Help me flight booking
39121,cheapest flight guarantee,Guarantee
23035,mrng,good night
72389,I want ola at 5th November for 6 pm,book a cab on 5th November at 10 pm
6005,any limit on cashback,is there any limit on cashback
66356,What features does my life has,What features does Total Secure plan has
45150,modification Birthday Reminder,I would like to change my  Birthday reminder
18914,I want to book flight tickets for New Year,Please book a flight
7142,Any Coupons available on ola booking.,Any Coupons available on cab booking.
40605,Cash back not receive,Cash back when I will get
37440,Student seat booking,book a seat on the flight
54055,still not got amazon cashback,did not get cash back
42431,set reminder walk,schedule a reminder
52685,calculate premium for total secure,Can I please know the Total secure plan
60042,still not got amazon cashback,24 hours still not got cashback
42513,Can you assist me,How can you assist me?
6003,modify my reminder,sorry change this reminder
2418,Where can cashback be used,where is my cashback
45381,But i haven't received receipt,I have not received my report yet
30044,"After booking, when will we get a confirmation of services and the vouchers for our holiday?",when will i get my refund
18791,Number is right,That ID is right
59120,Will I be able to exchange the Cylinder,what if I want to exchange cylinder with others
57656,refund,Please refund my money
8542,I need to book a flight,Hi! I want to book a bus ticket.   .
4302,My order ID is right,Please help me find my order ID
35521,Cash back not come,did not get cash back
24967,I want flight rate,Set Flight Fare Alerts
4737,Any offers currently available on train booking.,Train booking
1320,i have a issue,Other issues
16353,I m getting better price at ixigo in 3053 rupees,best fare from mumbai to pune
43831,I want bus tickets from,No bus ticket booking
46988,Friend Invite Code,How to invite friends?
19916,Tutorial for flights coupons,Tutorial for flights deals
64561,plz stop to all reminders,I want to delete my reminder
29015,33kg,price of 4 kg
22789,tooth preservation,Emergency Tooth preservation
20719,Give more results,show more reminders
34933,Where to apply coupon code for trains,How can I use coupon code in trains
23340,show previous day  GK leaderboard,show previous leaderboard
30499,customise corporate tour,inclusions in corporate tours
52212,unable to pay,How much to pay for this?
49785,Do you have features for Total Secure Plan,Total Secure
59402,Book me a night ticket to Delhi tomorrow,Price of flight tickets to Switzerland
25004,about wealth plus,need to know about wealth plus
23973,What will be the premium for Saral Nivesh,Saral Nivesh
10157,I want to book flight tickets for Christmas,Want to book flight from Mumbai to Delhi
32028,difficult to use,the website was easy to use
2171,any cashback on flight booking,Is there any cashback
66652,any cashback on flight booking,Is there any coupon code to reduce the fare of the flight
58787,What are the sizes of cylinders in which you supply LPG?,supply LPG industries
52415,I need a reminder to drink water,send reminder
72244,Can i get my reports,I haven't got my reports
50271,Remind me when fares drop,Give a update about that when the price is less
12767,link new savings bank account,Can you help me link new savings bank account
40979,I will start from next month for 10 years.,next month for 10 years
55867,to do list,I would like to view more reminder
63869,Key features please,Can I know the key features of My life
23350,Paytm book 4000 only,buy 2 tickets
67996,I want to book a cab,I want to book cab for later
70445,May I please know the Premium for WAAC,What will be the premium for WAAC
32933,prepare a reminder walk,prepare a reminder medicine
49390,I didnt get the ticket in email,I want my tickets emailed
51306,Will I be able to claim GST?,Will I be able to exchange the Cylinder
14353,Not so good,My HDFC experience was not good
67267,change savings bank account,How many savings bank account I can link with my trading account?
45928,home cleaning needed,need cleaning services
4498,I've already given the correct ID.,I gave the correct ID
61783,what if I want to exchange cylinder with others,Can we use Domestic Cylinder in other LPG run appliances
3977,I want to play,remind me to play the haptik quiz
70235,I want to book bus tickets,i want to know bus booking
3058,what are offers on flight booking,tell me about discount deal on flights
33199,I want my report,I need the reports urgently
74837,I HAVE GOT CHEAPEST FARE IN TRAIN,Train fare
18012,found cheaper fare,cheap rate for mumbai to delhi
57668,OTP didnt came,pin didnt came
74911,"Hello, Can you look for the closest bus stop?","Hello, Can you look for the closest petrol pump?"
59658,i want to search service,search services
3824,prepare a reminder exercise,reminder for exercise
26684,Kon jeete ga,aaj ka match kon jeete ga
7694,no i am not married,I am marry
57503,wish to see my report,I want to see my report
3263,book ola,ola
30350,show me ur pic,can you give me ur number
16171,set reminder jog,want reminder for exercise
67903,holdings in DP,dp
31847,Send me a daily motivational quote,Motivational Quote
40676,Change the date,Could you please help me to modify my date if journey
8245,shows MTV,current shows MTV
12622,List of train,Need train status
22979,Help me with Survival Benefits of GCAP,Help me with Survival Benefits of My life
53038,gold loan interest,loan
47631,Revise agreement,I would like to revise the agreement
72038,Bsnl broadband,Bsnl broadband bill payment
2823,Key Features,What are the key features of Saral Nivesh
35908,I need a reminder to drink water,I need a call to remind me to drink water
54124,Still it is not getting connected,didn't get message
9076,add more,Add more items
12682,"grievance related to takula, which level of adminstration",Problems related to Railways
49985,things I should and should not do if I have Dry Mouth?,Dry mouth issues
54999,Receiving Error message while getting connected,"Trying to get connected, please help"
34154,cashback on flights,any discount on flight booking
21779,Send me flight timings from Mumbai to Bangalore,recommend me Flight Tickets
55119,check bollywood leaderboard,show previous day bollywood leaderboard
2170,stop horoscope,I want to cancel my horoscope reminder
2940,lab no is not mentioned,No this is my lab id
3959,I dont remember my LAB ID,I don't have lab ID
65885,Need to know the features of Total Secure plan,Help me with the Premium for Total Secure
13003,set another reminder meet someone,view more reminders
64997,How much cashback will i get,when will i get cashback
62152,find Flight Tickets,What is the check-in baggage limit for the flight you suggested
31437,Show for 21st Jan,Show for 7pm
7144,set reminder medicine,Medicine Reminder
56424,I want to login,how to login with lounge wifi
1489,I don't want to play,I dont want any notifications
12993,recommend me nearest place for car repair,suggest me closest place with wifi
45061,I am having problem in Login,Lounge login issue
75095,I want to get a flight booked,like to buy Flight Tickets
8530,YES,yes tell me
1422,benefits,Wealth Plus Benefits
44474,features of total secure,Explain me the key features of Total Secure
8555,show  Flight Tickets,show flights on
54378,Give me your one pic,Give me your contact number
24251,Referral cashback not received,referral
3056,I need to book tickets,I want to book bus tickets for ID-E-MILAD
49632,What other facilities can I avail at the ALDS outlet?,Facilities available at ALDS outlet
28962,Total secure plus,Need your help to know the Premium for Total Secure
9785,any cash back,Cash back not received Amazon pay
28205,Check GK Score & Rank,yesterday's GK leaderboard
42030,looking for Flight Tickets,I want to book flight tickets for ID-E-MILAD
2141,redeem amount,Amount
56798,i need my refund,I want refund immediately
11883,Educational Loan,i Want Educational Loan
52789,Mutual Fund,want to open mutual fund account
21048,show for 2 adults,Search for 7pm
18698,looking Flight Tickets,I want flight rate
1655,Send me motivational quote,"Hey, can you send me motivational quotes? ."
31300,i want to know about trains,I want to know about train now
35303,Can orange cash be used anywhere else?,details about orange cash
15579,I want to play the predict quiz,I want to play the cricket prediction quiz
75238,Can we do broadband bill payment,Act broadband bill payment
41771,Check flight between cities,check a flight on 23 october
66484,I want to book bus tickets for New Year,I want bus bookings
52904,Am I talking to a computer,I don't want to talk to Machines
54936,is haptik available on chrome,is haptik available on windows
22109,set a reminder ,set a reminder
50549,sign in error,Getting Sign in error
18939,This is the correct order ID,I gave the correct order ID
72924,Still not get cashbook,24 hours still not got cashback
67760,It was troublesome to change my booking,Making a change to my ticket was hard
10185,Big Basket,"Hi, I am interested in Big Basket Gift Card  ."
73810,I want a phone number,do you have a phone number
52737,cancel flight fare alert,stop the flight alerts
24757,What are the important features of Total Secure,calculate premium for total secure
20217,Book a flight,I want to book flight tickets for Christmas
19533,Set a reminder for alerts,Please set a reminder
18692,What does Repairs under warranty cover?,maintenance under warranty
17749,Tell me the flight for guwahati,Tell me flight status now
36684,How to delete this chat,I would like to cancel
1171,Process to be followed for separation of children by age?,formalities do I have to follow to sell my unit
21036,I m getting low prices,I HAVE GOT CHEAPEST FARE IN TRAIN
3025,may i know the rate of the test,May I know the charges
67491,No One time password received yet,Have received OTP now
6113,need visa details,Do i need visa
9100,schedule a reminder exercise,reminder jog
15027,My order ID isn't here,That was the correct order ID
541,cheapest flight guarantee,I want alerts for cheapest flight
31092,I want to get connected to your wifi,I want to talk to your next level
20259,Landline bill payment is not there?,bill payment not done
20664,If I pay via Amazon Pay will I get 50 cashback,Can I book through Amazon pay
13243,Want to know the test results,Test results are not good
21243,Receiving Error message while getting connected,Everytime I try to login I get an error message.
1711,Tutorial for trains deals,Cashback on trains
28243,Am I talking to a real peson,Transfer me to a real person
4560,Do you provide a home loan to single women,home loan to single women
24556,please remind me wake up,wake up
64879,Set an alarm for me to wish someone anniversary,"Hey, can you remind me to wish someone Happy Birthday? ."
25241,Is there any cashback,any cashback on trains
30475,The amount is debited from my bank account but balance is not showing,bank account balance
49724,My Electricity Bill Payments provider is not there,I want to pay  electricity bill
49131,The page is not loading,Login page not opening
34618,I wanna know about Survival Benefits,Want to know Survival Benefits of WAAC
62233,The entire thing was just bad,entire thing was slow
15382,Don't know the answers,I dont know the flight number
22768,Channel Availability another language,Channel available in HD
1594,not able to upload pan card,i am not able to withdraw bonus money
15649,What is not added in LPG,Gas added with LPG?
17476,time to give payout amount,what is maximum amount for payout request
6125,I still can't find it,I can't find my order ID
55484,Pl book 26 row,Row 12 or 13
14954,Check availability at,check availability by south
46969,Please tell me best domestic flight offer,Some awesome cashback offers on flights.
3426,And back to kochi on night 03 dec,Book a flight from Mumbai to Delhi
29266,Compulsory registered documents,When and where should a document be registered?
36235,I dont got my cashback,I not get Cash back
37550,View new channels,New updates on new channels
14075,liable to pay TDS on property,Liable to pay Stamp Duty
65907,What is the procedure to change RM?,Procedure to change address
62328,number for voucher info,Number of voucher an owner gets
3775,contact,Should i contact the police
26691,schedule a reminder medicine,Medicine Reminder
39639,send me your photo,Give me your number
1798,Safety tips Industry,home safety tips
73322,Can you check flight ticket availabilty,looking Flight Tickets
38763,change my address,How can i change my address
55942,want to knw price of few test,I want to check the price of this test
23631,I need a reminder for meeting,show reminders
11744,Samples collection,Can sample be collected at my residence
31953,rate of the test,price
62886,any deal,Any Offers on Cinema
1351,want reminder for birthday,I need a reminder for exercising
9227,Price of flight tickets to Switzerland,want to buy Flight Tickets
71802,set a reminder exercise,cancel my exercise reminder
74781,Any cashback on flights,Any Offers on Cinema
65185,how much is the extra baggage cost,Extra baggage charge
65118,I need to book tickets,I want to book flight tickets for ID-E-MILAD
49789,Can I have your number,Can I get your number..?
928,What is Currency Trading,Trading in currency
15374,No i need to check fares for dec 23,Not needed
4525,received my pin,Why am I not receiving a pin number
16670,set reminder exercise,schedule a reminder
19664,May I know the prize,may i know the status of flight
13927,I want to know fares of flights,I want you to remind me fare of this flight
50942,I want to book flight tickets.,I want to book round trip
58311,I would like to change my to- do reminder,Can you schedule a reminder to wish someone on their anniversary
73739,flights to Dubai,Want to book flight from Mumbai to Delhi
7411,Is there any cashback,any discount on lunch?
6558,car,Favourite Car
11840,IRCTC provides at 4046,Search for 7pm
73337,my current location,My location
75320,stop alert pnr status of train,Cancel this alert
1387,Cancel my order,I want cancel this order
25539,I am unable to login on your portal,unable to submit grievance
58067,Cheapest flight,Cheap flight tickets
11194,Other location,I am from other location
33215,It was troublesome to change my booking,Making a change to my ticket was fast
13468,Airtel broadband bill payment,Bill payments
48794,What will be the delivery timings?,When do I get the cylinder if i am not home at time of delivery
57058,show me your photo,I want ur number
9491,start trading,Does it really take just 1 hours to start trading ?
28763,Order ID is correct,The order ID is right
36248,what is my rank in cricket,show my current rank in cricket
36071,price is high,Too high
15590,"What documents are required, if you want to return your unused personal forex?",return your unused personal forex
332,its not working,password not working
27071,prepare a reminder medicine,make a reminder medicine
36454,I want receipt history,Need receipts
66720,better recovery post operation,Recovery post operation
42861,I want to know the flight prices to Delhi,Can I get the fare rates of flights from Amritsar to Hyderabad for Dec 3
54291,Getting a license to air your channel,License to work with your company for content purposes
71304,Book me a flight,I want to book flight tickets for New Year
16637,Still it is not getting connected,One time password not getting
70287,any coupon available on flights,Is there any coupon code to reduce the fare of the flight
57712,What is my test result,what is the test fee
7337,my otp is not working,OTP not get
1217,"Hey, can you set a reminder for me to walk?  . .",set reminder
36254,Can i get offer,Why i didnt got the cashback
61915,any offer on mobikwik,Any Offers on Movies
18948,remove reminder,I want to remove reminder
69433,car park plan in agreement,Dimension of tandem car park
9476,Still my last electricity bill status is In progress,electricity bill
59970,No local number to call,Don’t have a local  number
27928,want to get my report but I dont have Lab id,I had beta hcg test yesterday but didn't get report till now
70598,Can I get the fare rates of flights from Amritsar to Hyderabad for Dec 3,I wanna fly to hyderabad
53075,I want allotment for extra car park.,Dimension of tandem car park
245,Salaried,I am a Salaried Individual
47088,Application ID no,change details on application id
2399,Middle east,I am from Middle east
6482,Wait its the same price on Paytm,getting same fare on other sites
3411,Explain Survival benefit process,Can you share the Survival benefits?
6258,I want to book flight tickets.,do i need to book an appoinment
14124,documents do you require?,"I already have a demat account, do i still need to give you all the required documents?"
73368,want to purchase Flight Tickets,want Flight Tickets
1533,like to purchase Flight Tickets,Want to book my seat i booked my ticket already
65682,reminder to call,"Hey, can you set a reminder for me to exercise?  . ."
60987,Where to apply coupon code for trains,How can I add coupon code in flights
46615,I need to book a flight,I want to book hotels
65768,still does not work,Didnt work
27950,prepare a reminder medicine,Medicine Reminder
59685,14 th feb morning flight to goa 7 adults 2 kids,mumbai to pune
53224,postpaid,Postpaid bill pay
25302,Today any ipl match,Who won the IPL match yesterday
16133,suggest me nearest place for car repair,closest place with wifi
39601,Is there any cashback,Any offers currently available on train tickets
41339,wifi not working,Wifi is not connected yet
1667,ID is correct,I gave the correct ID.
32124,please find trains,Need train status
4443,Not yet refunded,Still not refund
49071,I need invoice of my air tickets,I wanted an invoice for the test done
60536,Does SHV have pan India presence,Do you have PAN India presence
63129,features of criticare,Share the Key Features of Criticare
11593,but it already 72 hrs over,Already 72 hours completed
8966,reminder jog,I need a reminder for exercising
60526,Who won yesterday in Ipl match,Yesterday ipl match
4381,24 Dec,please proceed below flights new delhi to bangalore 1 adult - onward flight - 3038 jet airways 9w-823 dep 02 50 pm 29 dec
17510,best mutton shop here,mutton shop at
64674,show ur pic,I want ur no.
11934,IRCTC provides at 4046,I need for 8 persons
53546,Today's leaderboard,gk Today's leaderboard
67406,want mumbai to bangalore flights,delhi to kolkata
21459,i dont get cashback,I not get Cash back
22560,sorry change this reminder,modify my reminder
14590,I want to know about linking aadhaar card with my pan card.,I want to know about weather
14787,lost application id no,change details on application id
15589,i want to book,Why am i not being allowed to book more apartments?
10310,Can you please confirm whether it will depart from terminal 1 or 2,I just want to confirm whether my flight is on time or late
60224,May I know the cricket prize,May I know the prize
14256,grand orange bag day cashback,orange bag day sale start
59458,Could you let me know when there is a price drop,Remind me when fares drop
51793,Dont send,I dont want any notifications
2316,total secure +,Calculate Total Secure Plus Premium
10609,Can you remind me to jog,remind me to
55015,I want to book flight tickets for NH7 weekeender,I want to book flight tickets for Guru Nank Jayanti
48828,Landline bill,Is it applicable for landline bill payment?
17216,yes let's talk,Yes
37376,Thank you so much for your service,tq
40985,Didn't get amount after inviting friends,Invite friends
6247,what do you mean by chatbot,chatbot meaning
32378,no cashback received,Cashback not come
21985,send me a joke,sorry i dont want send a joke daily
50758,i want discount on flight tickets,like to purchase Flight Tickets
15798,I need flight,find Flight Tickets
62758,I want link to download this app on windows phone,download the app?
20196,what the process to apply for new Relationship manager ?,I want to apply for public offer
18537,Need LPG Connection for Hotel/Restaurant. What's the procedure ?,New LPG Connection
61535,How to get promocode,when will i get my cashback
31630,I have been blocked to invite friend,Friend Invite Code
74397,Cash back not received Amazon pay,Cash back is not come in my wallet
54528,you guys didn't charge convenience fees,Can you please update me with the amount of convenience fees
4552,Whats up?,What are you up to?
23265,Is there any coupon code to reduce the fare of the flight,Tutorial for flights coupon code
73511,charge convenience fee,How much is the convenience fees
46116,12kg LPG,33kg
72743,browse more wifi here,i want to purchase more wifi
15990,Cancel flight booking,Cancel
38066,Your Prices too high,Too high
68073,what is my position on the cricket leaderboard,Check yesterday's cricket leaderboard
1622,We would like to set up with you at our college,Organise visits to the set of the show
24381,I want to book flight tickets.,I want the boarding pass for my flight
41841,I want to book as armed force category,to buy Flight Tickets
17333,Where can cashback be used,where is the cashback
53804,how to get a voucher code,how can I get a voucher code
73661,Daily motivational quote modification,Send me motivational quote
16030,make me remember medicine,make me remember
59269,give reminder,want reminder for 
15774,send jokes daily,I would like to cancel my daily joke subscription
26597,What if your delivery boy behaves bad,How will I identify your delivery boy
42698,Send me adult jokes,adult joke
39763,Suck u,Get the hell out of here
37789,Send me motivational quote,Modify this  motivational quote reminder
27168,set reminder ,set a reminder
53966,show cricket leaderboard,Yesterday cricket Leaderboard
52174,Can you find me some jokes bot?,Send me a joke daily
14524,any deal,any offers on buses
5173,defence quota also to be applied,I have defence quota too so can you help me with the reduced rates
14514,set a reminder jog,make a reminder exercise
22646,Any offer,any offer running on train
9158,show me your photo,Give me your number
6724,Eligibility,Total Secure plus eligibility
7151,Cashback not receive,Didn't Receive Refund
38314,How to play?,Telangana players are allowed to play?
40763,This is the correct order ID,My order ID was right
14814,interest rate of gold loan,interest rate of home loan
11647,discontinue my wake up call,Change wake up call
75315,Flight ticket refund,I want to cancel my flight ticket
46798,I want to delete all my reminders,Please tell my all reminder
8307,I need my report asap for further process,I need the reports urgently
17471,may i know s Prolactin test cost,What will be charges for test
57756,remind me my walk,call to remind walk
12749,I havent receive any One time password,not receiving One time password
56768,Can i pay landline bills on haptik,Want to pay landline bill
37341,Perfect ! I will go with Option 2,Option 2
30201,set reminder,schedule a reminder wake up
3185,Airtel landline bill pay?,pay my bill.
36392,Want to book flight from Mumbai to Delhi,Book flights
67345,mumbai to delhi shatabdi tickets,check for mumbai to delhi
46904,interest if there is delay in possession,Is there interest levied by the promoter in case of default in payment of any instalments ?
47896,Am I talking to Bot,Are you a bot
25016,show all,show all products
16110,Didnt receive OTP,Have received OTP now
63998,Play and win,play and win quiz
57720,i want to book a resort,can you book a resort for me?
57940,need to order food,want to order food online
10990,Can you help me find a job,Show me some helpful articles
9318,"Hey, can you send me regular reminders to drink water? .","Hey, can you show more reminders on Rembo? ."
14931,want reminder for drink water,i want reminder
4676,I did not get cashback,Still not get cashbook
27314,72 hours still not got cashback,Already 72 hours completed
17211,Jamshedpur Electricity bill,Electric bill
27152,i want discount on flight booking,Tutorial for flights offers
15820,Something else,Tell me something else
1388,Last fund out,check last funds out
46648,why cash bonus is blocked,Cash Bonus Not recieved
3845,My Cashback not received,cash back not received
52869,"No, show me regular jokes",Don't send me
1569,remove this flight alert,Alert for flight
29938,need your product,Would like to sell your product
56560,tell me when fare falls,When fare changes
24083,You price are higher than happy easy go site,You are quoting higher prices
13713,change savings bank account,How many savings bank account I can register with my trading account?
33358,What is expiry date of cashback amount,Is Amazon cash back offer valid for electricity bill payment
58054,PLEASE do it fast,Fasting is needed for this test
42676,Give a update about that when the price is less,tell me when fare falls
18637,I want to chat with a dentist,yes i want to
38010,"Hey, can you set a reminder for me to call someone?  .","Hey, can you remind me to call someone?   ."
4145,stop alert train live status,stop alerts
57286,What if your delivery boy behaves bad,How can I identify your delivery men ?
35014,looking for Flight Tickets,Send me flight timings from Mumbai to Bangalore
22775,I have got patient ID,I have patient ID only
5371,Can i change the nominee if already updated,change nominee details
65282,looking for Flight Tickets,Please help me with booking flight tickets
6636,show all prizes,show all flights
20780,Still not resolved,Still it is not getting connected
53261,Jumbo Discount,what is a Jumbo Discount?
16955,want trains from,trains from
64118,cashback on dth.,i want discounts on dth.
50953,VLE login,I want to login for vle
65838,Any offers currently available on cab booking.,Any offers currently available on uber tickets.
33854,why is this permission needed?,I will give the permission later
56415,show me flights without any stop,I want flight rate
19795,Book train,book train ticket
28997,Balance Transfer,How long does it take for processing balance transfer
53975,I would like to book a flight ticket,provide me Flight Tickets
41217,supply LPG industries,Industries lpg
46055,And back to kochi on night 03 dec,i want to go from mumbai to pune
3520,i want to book train tickets,Train booking
1167,Charting Status train,status of train
69856,Schedule a reminder for horoscope,set reminder medicine
39959,What time will duronto Ahmedabad to mumbai  come today,Flight from delhi to srinagar
3523,That was a valid order ID,Can you tell me where is my order ID?
46266,I want to pay airtel broadband,How can I pay Airtel landline bill
777,want train tickets from mumbai to pune,Flight from delhi to srinagar
41919,got the password,did not get password
135,total secure +,I want to know the key features of Total Secure
36598,refund,Not refund
43510,you guys are charging convenience fees,How much is convenience charge
14932,send me reminder to drink water,show reminders
41450,both investor borrower,Identity investor borrower
26594,Key Features,I want to review all the Key features.
2520,I want to use citibank offer,terms for citibank offer
72843,Can you schedule a reminder for exercise,set a reminder
33728,Want to apply for a loan,I want to apply refinance loan
71646,Taking care of dry mouth,Problems related to dry mouth
25404,I want to book flight,do i need to book an appoinment
23741,Want to know Survival Benefits of saral nivesh plan,Help me with Survival Benefits of saral nivesh
63352,Let me know if there are any cash back offers,Hey can you tell me about the phonepe cash back .
50554,call to remind exercise,remind jog
69166,What time will duronto Ahmedabad to mumbai  come today,i want ticket from mumbai to pune
29335,What should I do if I want to view Aaple Sarkar Grievances Portal in Marathi language format,I want to view Aaple Sarkar Grievances Portal in english language format
58146,I need help with railway,"Hello, can you help me find a repair person?"
69549,Uber please,want to buy uber
28093,help me to change the company name.,Help me to change my Bank details
28389,what kind of Reminders can U set,Can you schedule a reminder for exercise
12297,fund,Mutual Fund
17318,I need flight,recommend Flight Tickets
66011,Phosphoric acid,how much phosphoric acid is added to
5352,Cashback on trains,Tutorial for trains discounts
12145,"Hey, can you set a reminder for me to walk?  . .",schedule a reminder
26938,Do u have a lab near thiruvalla kerala,Find the closest lab near me
22183,like to buy Flight Tickets,I want to book flight tickets for Guru Nank Jayanti
55856,contact number for nearby centre,contact number
20071,I'd like to check my order status,I want to check flight bookings
76169,Send me your picture,Please give me your pic
15500,Provide my cashback as soon as possible,Refund it as soon as possible
13603,ultimate body be formed after possession,children after possession
74697,Pls send flight status,may i know the status of flight
62919,more motivational quotes,"Hey, can you send me motivational quotes? ."
20292,I want to book bus tickets for NH7 weekeender,Any bus ticket available
69366,pin not working,Not working
72304,Hey can you tell me about the phonepe cash back .,cash back on flights
30976,Can i get offer,I cant get cashback
41021,It was really good,Good
4097,Resident Indian,Indian
17504,Tell me about Saral Nivesh plan,I want to know about Saral Nivesh
45803,I want offers on ola tickets.,I want discounts on ola booking.
7902,which answers were wrong,Can I know which of my answers are wrong?
20436,Email me my flight tickets,show  Flight Tickets
54269,how to buy paid plan,how to purchase
12302,tell me about discount deal on flights,Are there any discount or cashback offers
28040,Please give me offers,Sir when My Cashback given by you
44156,Please tell me best domestic flight offer,i want discount on flight tickets
37861,Send your pic,I want your number plz
4518,"Hello, Can you look for the closest gas station?",looking for closest gas station
68469,Where can cash back be used,Cash back not receive
41342,got One time password,didnt get One time password
6055,Send me flight timings from Mumbai to Delhi,Send me flight schedule
1425,find Flight Tickets,search flights
34744,How much to pay for this?,how to pay for extra wifi
2955,make a remainder phone,make a remainder
12937,Need to know the Survival Benefits of saral nivesh plan,what are the benefits of saral nivesh
67561,I want to book bus tickets for Guru Nank Jayanti,I need bus booking
56410,need flights from mumbai to pune,Please proceed with below flight from Delhi to Bangalore for 1 adult onward flight air dep 00 00 1 dec dep 00 00 1 dec
30774,remaind me about drink water,remaind me about
49198,Stop all Updates,Delete all the messages
4836,want Flight Tickets,like to purchase Flight Tickets
67990,I want to book round trip,to buy Flight Tickets
8910,Email me my flight tickets,provide me Flight Tickets
46769,close  account,i want to close account
18189,domestic flights booking,I need to book a flight
64424,Disgusting,lets fuck
55014,show previous day bollywood leaderboard,show previous day leaderboard
572,schedule a reminder birthday,set a reminder jog
48969,want to purchase Flight Tickets,Is there any reminder for flights ticket
66703,I want to delete all old message,I would like to cancel my Joke of the day subscription
20581,update company name,What is the Company Name?
11349,I want to change bank account,Change bank details
7671,i want discount on flight tickets,tell me about discount deal on flight booking
13826,Help me with the Premium for Total Secure,Need your help to know the Premium for Total Secure
16574,Mpin Issues,activation issue in mpin
4845,want to start interior work,when to start paying electricity bills
4082,Cancel Flight Booking,I would like to book a flight ticket
55073,Please book the closest cab including share/pool,"Hey, can you book me the nearest cab? ."
35964,tell me about discount deal on flights,Any cashback on flights
26281,any cashback on flight tickets,Tutorial for flights offers
66561,Can you schedule a reminder for jog,prepare a reminder jog
612,i am in trouble,Someone is troubling me
26850,what is my position on the bollywood leaderboard,Yesterday bollywood Leaderboard
72336,like to buy Flight Tickets,Help me with flight booking
75388,how can i get invoice,Want to get invoice
1423,check availability of resorts,check availability by zone
26669,is there any offer on top up?,Is there any landline payment offer?
31605,Im not interested,I'm not a fan of long queues! Please web-checkin for me.
8707,bad customer service,good customer service
25412,What is added in LPG to get odour?,what is not added i LPG
1392,I want to book flight,i want to buy a flat
62679,BMI?,ideal BMI
24634,"If my Contact Number/ Person has changed, how do I update it?","If my Bank Details has changed, how do I update it?"
49818,Show menu beverages,Show me menu items
30330,I want to book round trip,I want to book flight tickets.
76171,unable to login,i am unable to connect
18050,I gave the right order ID,Can you tell me where is my order ID?
7742,what is your age,Whats your good name?
41578,How can I update IFSC code?,Can you help me update my IFSC code
39238,available train tickets from vizag to Mumbai,Can I get the fare rates of flights from Amritsar to Hyderabad for Dec 3
65763,Cash back not receive,Cash back has not come
48263,leader board,Leader
45737,When the cricket price will be announced,what is the cricket price
59062,I want to book a flight,domestic flights booking
3275,Haptik play & win quiz,What is my final score for the predict & win quiz
282,talk to agent,"Yes, connect me to an agent"
45109,Am I talking to a computer,Want to talk to human
33705,Please help me find my order ID,Can't find order ID
24792,Send me the ticket on my mail,Please mail me the tickets
24302,cancel my flight,I want to cancel my flight trip
27938,When funds get credited,Can I get my funds immediately?
35834,Can I close the account for free?,Everybody offers trading services & demat account for free. Why should I open the a/c with AB?
4819,change email,change mail ID
60918,suggest Flight Tickets,Please help me with booking flight tickets
74023,I want to book movie tickets and avail discounts,can u book a movie ticket
44847,14 th feb morning flight to goa 7 adults 2 kids,delhi to kolkata
53395,Email not received,i have not received bonus
76190,"Hi there, can you find me a good rate cutter mobile plan?  .","Hi there, can you find me a mobile plan for STD calls?  ."
47635,Where is the cash back,Cash back when I will get
45064,Do you charge to open an account?,I already have a Demat Account. Can I open only Trading account with you?
18242,Not right now,"Hi, It's dinner time, get your assistant to order food for you right now! :)  ."
26683,That ID is right,My order ID is right
54547,pay registration amount,registration amount refundable
